,latitude,longitude
81101,30.974178,66.437027
81102,33.358508,69.859741
81114,32.191878,67.189449
81115,36.70993,67.1157
81116,32.159035,63.442011
81118,33.446944,70.228333
81125,32.100204,66.901016
81127,32.197468,68.347344
81128,33.566561,69.878354
81130,33.598633,69.228996
81136,31.60063,64.369652
81139,32.074078,66.141526
81169,32.241737,62.948654
81170,33.458527,69.995087
81171,34.914444,65.288333
81172,34.516895,69.147011
81179,34.944168,69.273331
81192,34.417122,70.449593
81207,31.972643,67.375665
81221,32.323203,64.811084
81222,34.516895,69.147011
81237,31.550039,65.45263
81242,31.631083,65.742226
81266,32.413564,66.350075
81268,33.598633,69.228996
81275,35.640348,63.309294
81310,31.508661,65.434448
81324,32.50368,67.475491
81325,35.118056,71.228056
81338,32.715785,69.281793
81342,33.55,68.416667
81358,31.540556,65.333611
81366,31.026149,62.450415
81377,32.927878,69.378619
81398,32.816136,67.762998
81408,31.60063,64.369652
81409,31.713611,61.6225
81413,31.60063,64.369652
81419,32.519241,67.416481
81420,30.622013,64.031136
81434,32.100204,66.901016
81443,34.417122,70.449593
81444,31.825871,64.576431
81459,33.335258,69.928467
81460,33.705135,69.391307
81471,34.516895,69.147011
81478,34.351349,68.238534
81479,33.706162,69.383143
81487,33.241286,69.830128
81498,32.511204,62.163443
81504,32.511204,62.163443
81512,34.368889,69.218333
81525,34.516895,69.147011
81528,34.346722,62.197315
81535,35.0,69.233333
81543,31.617667,65.675942
81554,31.631083,65.742226
81563,33.350536,69.869826
81591,31.619314,65.050156
81594,34.516895,69.147011
81601,32.509722,68.855833
81627,33.335258,69.928467
81628,33.598633,69.228996
81629,35.264273,68.620107
81633,31.607109,65.634674
81638,34.199788,70.168038
81640,34.229213,70.193208
81643,34.516895,69.147011
81660,36.734457,68.865962
81661,32.173373,66.520679
81664,34.516895,69.147011
81665,31.634344,64.560984
81666,33.461667,70.217222
81672,31.617667,65.675942
81684,34.516895,69.147011
81691,31.60063,64.369652
81698,31.631083,65.742226
81700,35.640348,63.309294
81705,33.314167,69.901389
81712,33.271667,69.778611
81716,34.880556,70.896111
81717,32.509722,68.855833
81725,36.75506,66.897537
81727,36.756178,66.724215
81740,34.875656,71.152008
81751,32.666404,65.903629
81779,33.319571,68.451297
81804,33.358508,69.859741
81806,33.358508,69.859741
81834,33.235833,69.924722
81842,35.133333,69.301389
81862,33.335258,69.928467
81889,31.363647,63.958611
81892,31.586503,65.660307
81916,34.875043,70.969274
81919,32.861513,69.126826
81938,33.706199,69.383108
81958,34.846589,71.097317
81966,31.617667,65.675942
81975,32.164997,63.425297
81995,31.631083,65.742226
82012,31.60063,64.369652
82046,36.733459,69.537758
82053,34.346722,62.197315
82055,34.346722,62.197315
82056,34.516895,69.147011
82057,32.666404,65.903629
82094,31.363647,63.958611
82102,32.677851,61.981391
82103,33.548819,68.415237
82111,34.467964,70.491493
82113,34.346722,62.197315
82120,34.715851,70.764224
82131,33.589051,69.629443
82133,31.64,64.24
82157,34.264029,69.161093
82163,32.264539,68.524715
82168,32.100204,66.901016
82172,35.804295,69.287754
82173,35.325022,70.907124
82194,31.617667,65.675942
82215,33.366213,69.962798
82241,34.516895,69.147011
82245,31.60063,64.369652
82278,33.694722,68.892778
82310,31.631083,65.742226
82312,31.631083,65.742226
82333,33.53,69.048333
82353,36.70993,67.1157
82381,34.516895,69.147011
82396,32.164997,63.425297
82407,31.125833,64.188611
82414,34.856331,69.649118
82417,33.333847,69.937167
82428,36.951407,65.128087
82429,32.49538,62.262914
82447,33.335258,69.928467
82454,33.335258,69.928467
82476,35.204723,63.061857
82486,33.335258,69.928467
82492,34.944168,69.273331
82500,31.631083,65.742226
82526,34.252304,70.802422
82531,31.60063,64.369652
82554,31.363647,63.958611
82567,32.230825,62.920592
82580,35.325022,70.907124
82589,35.325022,70.907124
82604,34.516895,69.147011
82621,32.50368,67.475491
82635,32.684715,68.238403
82637,31.617667,65.675942
82671,33.480762,69.692949
82672,33.109734,68.302658
82673,36.474539,66.951146
82677,31.60063,64.369652
82691,31.617667,65.675942
82692,36.108139,66.28566
82693,36.108139,66.28566
82697,31.612633,65.681552
82699,34.516895,69.147011
82708,31.650027,65.650018
82709,33.6435,62.270635
82744,34.689769,70.14558
82751,33.364593,69.793643
82758,31.622827,62.869366
82767,31.1225,64.204722
82773,32.100204,66.901016
82780,34.516895,69.147011
82800,34.516895,69.147011
82801,31.6119,65.6811
82807,31.513958,64.926378
82820,33.458527,69.995087
82835,34.689769,70.14558
82846,35.119973,70.74142
82852,33.335258,69.928467
82859,30.869041,66.141526
82860,33.300747,69.884109
82861,31.617667,65.675942
82867,31.617667,65.675942
82871,36.705776,68.87706
82879,33.335258,69.928467
82893,34.229213,70.193208
82903,33.436221,69.031746
82909,33.335258,69.928467
82919,34.674866,70.21344
82920,33.542622,68.415329
82921,31.908611,67.646111
82931,34.348889,63.177778
82939,33.109734,68.302658
82944,32.9833,67.9666
82956,31.640278,65.3975
82982,34.516895,69.147011
82992,34.946667,68.8475
83027,31.631083,65.742226
83029,31.617667,65.675942
83031,31.631083,65.742226
83040,36.705776,68.87706
83046,33.598633,69.228996
83063,33.266693,62.356516
83068,34.474128,68.639484
83069,34.516895,69.147011
83074,32.933317,68.645233
83075,31.550039,65.45263
83086,31.631083,65.742226
83096,34.917159,70.906703
83105,36.705776,68.87706
83106,32.495328,62.262663
83123,32.580577,65.993058
83124,34.916628,68.802411
83125,31.779468,64.588964
83136,33.358508,69.859741
83150,33.358508,69.859741
83151,33.358508,69.859741
83152,33.358508,69.859741
83153,33.358508,69.859741
83154,33.358508,69.859741
83155,33.358508,69.859741
83161,32.927129,66.141526
83171,33.458527,69.995087
83175,33.498229,67.761598
83182,32.666404,65.903629
83210,31.540556,65.333611
83212,33.465833,70.091111
83224,31.825871,64.576431
83259,34.699444,70.236111
83278,33.542622,68.415329
83302,33.332741,68.455071
83303,35.118338,69.234113
83310,31.617667,65.675942
83311,31.617667,65.675942
83316,34.356389,68.739444
83323,32.936526,68.647303
83340,32.264539,68.524715
83343,32.611717,62.520332
83374,32.630883,66.767491
83382,36.756178,66.724215
83384,36.756178,66.724215
83395,36.05,69.083333
83405,32.0325,65.135833
83407,31.550039,65.45263
83408,30.869041,66.141526
83420,34.516895,69.147011
83439,33.193665,68.102002
83441,32.074078,66.141526
83445,32.37001,62.128456
83446,34.85581,70.104692
83447,31.631083,65.742226
83448,35.5938,63.335419
83449,34.516895,69.147011
83464,33.319571,68.451297
83504,33.300747,69.884109
83505,32.099544,68.390209
83507,32.509722,68.855833
83527,31.60063,64.369652
83542,34.037983,69.021027
83544,33.55,68.416667
83608,32.173373,66.520679
83630,31.825871,64.576431
83631,32.495328,62.262663
83637,33.529972,67.215922
83640,33.598633,69.228996
83648,33.656944,68.574444
83653,31.631083,65.742226
83656,32.073333,64.833889
83659,34.516895,69.147011
83661,34.516895,69.147011
83668,32.195272,67.038779
83683,34.152771,70.127098
83697,35.118056,71.228056
83707,34.516895,69.147011
83708,32.474362,62.217783
83722,32.234725,67.079478
83724,34.246376,68.290897
83725,31.074961,62.572532
83730,31.640278,65.3975
83731,33.564058,69.931212
83745,33.727707,68.177798
83760,34.171831,70.621679
83775,31.002735,66.405617
83787,32.816136,67.762998
83799,32.916837,66.21844
83805,35.225369,71.528625
83806,34.395183,62.371474
83828,33.458557,69.946631
83829,32.109295,68.381624
83838,32.264539,68.524715
83845,31.617667,65.675942
83846,32.264539,68.524715
83873,31.80262,66.324715
83874,33.335258,69.928467
83877,33.423611,69.376667
83883,34.351349,68.238534
83886,37.10783,70.567558
83893,36.890916,67.189449
83897,33.193142,68.101852
83937,36.733333,68.866667
83938,32.191878,67.189449
83939,31.622827,62.869366
83949,33.465179,68.690613
83959,34.6475,70.901389
83965,34.988941,70.911217
83966,30.996068,65.475736
83967,34.021194,68.999535
83968,31.640278,65.3975
83979,31.631083,65.742226
84023,33.5,70.05
84024,31.631083,65.742226
84026,34.516895,69.147011
84028,31.617667,65.675942
84029,31.64,64.24
84031,33.5,70.05
84032,31.640278,65.3975
84033,34.516895,69.147011
84034,32.074078,66.141526
84054,33.498229,67.761598
84090,31.673895,65.403913
84092,34.516895,69.147011
84094,32.074078,66.141526
84124,32.715785,69.281793
84131,34.846589,71.097317
84132,31.640278,65.3975
84134,34.988941,70.911217
84139,34.516895,69.147011
84140,34.71,70.957778
84141,33.1782,68.752533
84156,34.846589,71.097317
84159,32.187222,66.662222
84160,34.89,71.18
84164,36.705776,68.87706
84166,32.936526,68.647303
84181,36.75506,66.897537
84186,34.966667,69.566667
84188,32.9833,67.9666
84189,31.825871,64.576431
84207,34.346722,62.197315
84214,34.037983,69.021027
84222,31.637821,64.237801
84235,31.127028,64.205849
84237,31.80262,66.324715
84241,35.58567,63.328087
84261,33.193142,68.101852
84270,36.733459,69.537758
84278,31.002735,66.405617
84284,32.034643,64.95902
84290,34.516895,69.147011
84297,32.268808,68.496303
84299,31.825871,64.576431
84303,34.516895,69.147011
84329,34.516895,69.147011
84340,34.516895,69.147011
84370,32.073333,64.833889
84372,33.335258,69.928467
84440,31.825871,64.576431
84446,30.869041,66.141526
84461,34.361059,68.840693
84469,33.266693,62.356516
84470,33.266693,62.356516
84488,33.266693,62.356516
84543,33.335258,69.928467
84610,31.60063,64.369652
84657,33.55,68.416667
84658,32.230825,62.920592
84659,34.915846,71.196343
84675,33.307049,62.136421
84679,32.677851,61.981391
84685,33.123333,67.977222
84695,33.335258,69.928467
84723,36.177311,68.752136
84729,32.50281,67.415452
84730,34.328977,70.407486
84737,31.825871,64.576431
84760,32.50281,67.415452
84764,36.934167,66.113889
84765,33.266693,62.356516
84766,32.50281,67.415452
84795,33.446882,65.38071
84801,33.333847,69.937167
84803,32.100204,66.901016
84812,32.100204,66.901016
84820,33.542622,68.415329
84823,35.58567,63.328087
